Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin,10676.33
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum,353.35
Tether,USDT,https://coinmarketcap.com/currencies/tether,1.00
XRP,XRP,https://coinmarketcap.com/currencies/xrp,0.248665
Binance Coin,BNB,https://coinmarketcap.com/currencies/binance-coin,29.02
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash,222.12
Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new,4.18
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink,9.42
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin,46.96
Crypto.com Coin,CRO,https://coinmarketcap.com/currencies/crypto-com-coin,0.148605
Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv,162.90
Cardano,ADA,https://coinmarketcap.com/currencies/cardano,0.096879
USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin,1.00
EOS,EOS,https://coinmarketcap.com/currencies/eos,2.53
Monero,XMR,https://coinmarketcap.com/currencies/monero,107.53
TRON,TRX,https://coinmarketcap.com/currencies/tron,0.026392
Tezos,XTZ,https://coinmarketcap.com/currencies/tezos,2.20
Stellar,XLM,https://coinmarketcap.com/currencies/stellar,0.073292
Neo,NEO,https://coinmarketcap.com/currencies/neo,18.04
UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo,1.22
Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos,5.30
NEM,XEM,https://coinmarketcap.com/currencies/nem,0.114836
Wrapped Bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin,10698.61
Huobi Token,HT,https://coinmarketcap.com/currencies/huobi-token,4.67
Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai,1.02
IOTA,MIOTA,https://coinmarketcap.com/currencies/iota,0.276387
VeChain,VET,https://coinmarketcap.com/currencies/vechain,0.011818
Aave,LEND,https://coinmarketcap.com/currencies/aave,0.539779
THETA,THETA,https://coinmarketcap.com/currencies/theta,0.765616
Dash,DASH,https://coinmarketcap.com/currencies/dash,66.78
Zcash,ZEC,https://coinmarketcap.com/currencies/zcash,63.12
Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic,5.17
yearn.finance,YFI,https://coinmarketcap.com/currencies/yearn-finance,19280.59
Maker,MKR,https://coinmarketcap.com/currencies/maker,568.37
Binance USD,BUSD,https://coinmarketcap.com/currencies/binance-usd,1.00
OMG Network,OMG,https://coinmarketcap.com/currencies/omg,3.72
TrueUSD,TUSD,https://coinmarketcap.com/currencies/trueusd,1.00
Synthetix Network Token,SNX,https://coinmarketcap.com/currencies/synthetix-network-token,4.50
Ontology,ONT,https://coinmarketcap.com/currencies/ontology,0.608888
UMA,UMA,https://coinmarketcap.com/currencies/uma,7.03
OKB,OKB,https://coinmarketcap.com/currencies/okb,6.15
Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap,3.69
DigiByte,DGB,https://coinmarketcap.com/currencies/digibyte,0.026332
FTX Token,FTT,https://coinmarketcap.com/currencies/ftx-token,3.57
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin,0.002655
Algorand,ALGO,https://coinmarketcap.com/currencies/algorand,0.317510
Celsius,CEL,https://coinmarketcap.com/currencies/celsius,1.40
HedgeTrade,HEDG,https://coinmarketcap.com/currencies/hedgetrade,1.08
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token,0.221969
BitTorrent,BTT,https://coinmarketcap.com/currencies/bittorrent,0.000330
Compound,COMP,https://coinmarketcap.com/currencies/compound,121.78
0x,ZRX,https://coinmarketcap.com/currencies/0x,0.377071
Kusama,KSM,https://coinmarketcap.com/currencies/kusama,31.73
Celo,CELO,https://coinmarketcap.com/currencies/celo,2.13
Hyperion,HYN,https://coinmarketcap.com/currencies/hyperion,0.598721
Ren,REN,https://coinmarketcap.com/currencies/ren,0.278470
Waves,WAVES,https://coinmarketcap.com/currencies/waves,2.39
Paxos Standard,PAX,https://coinmarketcap.com/currencies/paxos-standard,1.00
Loopring,LRC,https://coinmarketcap.com/currencies/loopring,0.196415
ICON,ICX,https://coinmarketcap.com/currencies/icon,0.401072
Qtum,QTUM,https://coinmarketcap.com/currencies/qtum,2.31
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa,0.020207
Energy Web Token,EWT,https://coinmarketcap.com/currencies/energy-web-token,7.04
Kyber Network,KNC,https://coinmarketcap.com/currencies/kyber-network,0.927081
ABBC Coin,ABBC,https://coinmarketcap.com/currencies/abbc-coin,0.308492
NXM,NXM,https://coinmarketcap.com/currencies/nxm,32.12
Hedera Hashgraph,HBAR,https://coinmarketcap.com/currencies/hedera-hashgraph,0.030673
Augur,REP,https://coinmarketcap.com/currencies/augur,13.82
Lisk,LSK,https://coinmarketcap.com/currencies/lisk,1.11
Arweave,AR,https://coinmarketcap.com/currencies/arweave,4.18
Bitcoin Gold,BTG,https://coinmarketcap.com/currencies/bitcoin-gold,7.82
Decred,DCR,https://coinmarketcap.com/currencies/decred,11.35
ZB Token,ZB,https://coinmarketcap.com/currencies/zb-token,0.290979
CyberVein,CVT,https://coinmarketcap.com/currencies/cybervein,0.126135
The Midas Touch Gold,TMTG,https://coinmarketcap.com/currencies/the-midas-touch-gold,0.022812
HUSD,HUSD,https://coinmarketcap.com/currencies/husd,1.00
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin,0.154665
Elrond,EGLD,https://coinmarketcap.com/currencies/elrond-egld,9.20
Siacoin,SC,https://coinmarketcap.com/currencies/siacoin,0.002763
Band Protocol,BAND,https://coinmarketcap.com/currencies/band-protocol,5.98
Ocean Protocol,OCEAN,https://coinmarketcap.com/currencies/ocean-protocol,0.339902
Revain,REV,https://coinmarketcap.com/currencies/revain,0.010542
Aragon,ANT,https://coinmarketcap.com/currencies/aragon,3.57
Terra,LUNA,https://coinmarketcap.com/currencies/terra-luna,0.303506
Balancer,BAL,https://coinmarketcap.com/currencies/balancer,16.49
SushiSwap,SUSHI,https://coinmarketcap.com/currencies/sushiswap,0.912605
Decentraland,MANA,https://coinmarketcap.com/currencies/decentraland,0.075066
PumaPay,PMA,https://coinmarketcap.com/currencies/pumapay,0.001945
DxChain Token,DX,https://coinmarketcap.com/currencies/dxchain-token,0.002034
Quant,QNT,https://coinmarketcap.com/currencies/quant,8.46
Nano,NANO,https://coinmarketcap.com/currencies/nano,0.778147
Solana,SOL,https://coinmarketcap.com/currencies/solana,2.49
Swipe,SXP,https://coinmarketcap.com/currencies/swipe,1.36
Ampleforth,AMPL,https://coinmarketcap.com/currencies/ampleforth,0.846024
Bitcoin Diamond,BCD,https://coinmarketcap.com/currencies/bitcoin-diamond,0.536105
Blockstack,STX,https://coinmarketcap.com/currencies/blockstack,0.159385
Orchid,OXT,https://coinmarketcap.com/currencies/orchid,0.267832
Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche,4.01
Nervos Network,CKB,https://coinmarketcap.com/currencies/nervos-network,0.004682
Ravencoin,RVN,https://coinmarketcap.com/currencies/ravencoin,0.013291
